"time_sec","total_count","normal_ratio","blank_screen_ratio","end_early_ratio","no_act_ratio","no_delivery_ratio","handoff_ratio","refresh_ratio"
"2018-09-17 22:30:00",4,0,0,0,0,4,0,0
"2018-09-17 22:45:00",18,0,0,0,0,18,0,0
"2018-09-17 23:00:00",7,0,0,0,0,7,0,0
"2018-09-17 23:15:00",6,0,0,0,0,6,0,0
"2018-09-17 23:30:00",6,0,0,0,0,6,0,0
"2018-09-17 23:45:00",8,0,0,0,0,8,0,0
"2018-09-18 00:00:00",8,0,0,0,0,8,0,0
"2018-09-18 00:15:00",4,0,0,0,0,4,0,0
"2018-09-18 00:30:00",8,0,0,0,0,8,0,0
"2018-09-18 00:45:00",16,0,0,0,0,16,0,0
"2018-09-18 01:00:00",4,0,0,0,0,4,0,0
"2018-09-18 01:15:00",4,0,0,0,0,4,0,0
"2018-09-18 01:30:00",5,0,0,0,0,5,0,0
"2018-09-18 01:45:00",9,0,0,0,0,9,0,0
"2018-09-18 02:00:00",9,0,0,0,0,9,0,0
"2018-09-18 02:15:00",4,0,0,0,0,4,0,0
"2018-09-18 02:30:00",4,0,0,0,0,4,0,0
"2018-09-18 02:45:00",8,0,0,0,0,8,0,0
"2018-09-18 03:00:00",5,0,0,0,0,5,0,0
"2018-09-18 03:15:00",7,0,0,0,0,7,0,0
"2018-09-18 03:30:00",6,0,0,0,0,6,0,0
"2018-09-18 03:45:00",3,0,0,0,0,3,0,0
"2018-09-18 04:00:00",6,0,0,0,0,6,0,0
"2018-09-18 04:15:00",3,0,0,0,0,3,0,0
"2018-09-18 04:30:00",6,0,0,0,0,6,0,0
"2018-09-18 04:45:00",1,0,0,0,0,1,0,0
"2018-09-18 05:00:00",6,0,0,0,0,6,0,0
"2018-09-18 05:15:00",2,0,0,0,0,2,0,0
"2018-09-18 05:30:00",11,0,0,0,0,11,0,0
"2018-09-18 05:45:00",2,0,0,0,0,2,0,0
"2018-09-18 06:15:00",2,0,0,0,0,2,0,0
"2018-09-18 06:45:00",2,0,0,0,0,2,0,0
"2018-09-18 07:00:00",1,0,0,0,0,1,0,0
"2018-09-18 07:15:00",1,0,0,0,0,1,0,0
"2018-09-18 07:30:00",7,0,0,0,0,7,0,0
"2018-09-18 07:45:00",7,0,0,0,0,7,0,0
"2018-09-18 08:00:00",3,0,0,0,0,3,0,0
"2018-09-18 08:15:00",1,0,0,0,0,1,0,0
"2018-09-18 08:30:00",4,0,0,0,0,4,0,0
"2018-09-18 08:45:00",2,0,0,0,0,2,0,0
"2018-09-18 09:00:00",6,0,0,0,0,6,0,0
"2018-09-18 09:15:00",2,0,0,0,0,2,0,0
"2018-09-18 09:30:00",3,0,0,0,0,3,0,0
"2018-09-18 09:45:00",1,0,0,0,0,1,0,0
"2018-09-18 10:00:00",1,0,0,0,0,1,0,0
"2018-09-18 10:15:00",3,0,0,0,0,3,0,0
"2018-09-18 10:45:00",2,0,0,0,0,2,0,0
"2018-09-18 11:00:00",1,0,0,0,0,1,0,0
"2018-09-18 11:15:00",1,0,0,0,0,1,0,0
"2018-09-18 11:30:00",1,0,0,0,0,1,0,0
"2018-09-18 11:45:00",2,0,0,0,0,2,0,0
"2018-09-18 12:00:00",2,0,0,0,0,2,0,0
"2018-09-18 12:15:00",1,0,0,0,0,1,0,0
"2018-09-18 12:30:00",2,0,0,0,0,2,0,0
"2018-09-18 12:45:00",3,0,0,0,0,3,0,0
"2018-09-18 13:00:00",5,0,0,0,0,5,0,0
"2018-09-18 13:15:00",4,0,0,0,0,4,0,0
"2018-09-18 13:30:00",3,0,0,0,0,3,0,0
"2018-09-18 14:00:00",1,0,0,0,0,1,0,0
"2018-09-18 14:30:00",9,0,0,0,0,9,0,0
"2018-09-18 14:45:00",5,0,0,0,0,5,0,0
"2018-09-18 15:00:00",5,0,0,0,0,5,0,0
"2018-09-18 15:15:00",2,0,0,0,0,2,0,0
"2018-09-18 15:30:00",7,0,0,0,0,7,0,0
"2018-09-18 15:45:00",2,0,0,0,0,2,0,0
"2018-09-18 16:00:00",7,0,0,0,0,7,0,0
"2018-09-18 16:15:00",3,0,0,0,0,3,0,0
"2018-09-18 16:30:00",7,0,0,0,0,7,0,0
"2018-09-18 16:45:00",4,0,0,0,0,4,0,0
"2018-09-18 17:00:00",6,0,0,0,0,6,0,0
